"time","biomass","curve_id"
0.5,28774345,"curve_1"
1,27727155,"curve_1"
1.5,28619420,"curve_1"
2,31695970,"curve_1"
2.5,35766010,"curve_1"
3,40113020,"curve_1"
3.5,44429830,"curve_1"
4,47754910,"curve_1"
4.5,49705080,"curve_1"
5,51151910,"curve_1"
5.5,52056255,"curve_1"
6,52449725,"curve_1"
6.5,52451510,"curve_1"
7,52453070,"curve_1"
7.5,52396555,"curve_1"
8,52293620,"curve_1"
8.5,52431125,"curve_1"
9,52453440,"curve_1"
9.5,52261940,"curve_1"
10,52452795,"curve_1"
10.5,52443870,"curve_1"
11,52352290,"curve_1"
11.5,52448720,"curve_1"
12,52446865,"curve_1"
12.5,52400355,"curve_1"
13,52183220,"curve_1"
13.5,52196235,"curve_1"
14,52183220,"curve_1"
14.5,52163085,"curve_1"
15,52169880,"curve_1"
15.5,52135080,"curve_1"
16,52113205,"curve_1"
16.5,52098205,"curve_1"
17,52075085,"curve_1"
17.5,52082875,"curve_1"
18,52082875,"curve_1"
18.5,52034875,"curve_1"
19,52075085,"curve_1"
19.5,52001200,"curve_1"
20,52034875,"curve_1"
20.5,52018205,"curve_1"
21,52018205,"curve_1"
21.5,52018205,"curve_1"
22,51939025,"curve_1"
22.5,51957210,"curve_1"
23,51966180,"curve_1"
23.5,51957210,"curve_1"
24,51892075,"curve_1"
0.5,33322695,"curve_2"
1,33585160,"curve_2"
1.5,33397755,"curve_2"
2,36165665,"curve_2"
2.5,39810535,"curve_2"
3,43667015,"curve_2"
3.5,47181520,"curve_2"
4,49796950,"curve_2"
4.5,51293165,"curve_2"
5,52127940,"curve_2"
5.5,52451075,"curve_2"
6,52196235,"curve_2"
6.5,51939025,"curve_2"
7,52202620,"curve_2"
7.5,52313125,"curve_2"
8,51781285,"curve_2"
8.5,51832925,"curve_2"
9,51802200,"curve_2"
9.5,51345525,"curve_2"
10,51540840,"curve_2"
10.5,51983860,"curve_2"
11,51189640,"curve_2"
11.5,51503360,"curve_2"
12,51553160,"curve_2"
12.5,51749270,"curve_2"
13,51276005,"curve_2"
13.5,51589590,"curve_2"
14,51565390,"curve_2"
14.5,51528435,"curve_2"
15,52018205,"curve_2"
15.5,51540840,"curve_2"
16,51304080,"curve_2"
16.5,51671555,"curve_2"
17,51528435,"curve_2"
17.5,51317980,"curve_2"
18,51528435,"curve_2"
18.5,51625240,"curve_2"
19,52009745,"curve_2"
19.5,51872700,"curve_2"
20,51084820,"curve_2"
20.5,51345525,"curve_2"
21,52149250,"curve_2"
21.5,52156210,"curve_2"
22,51553160,"curve_2"
22.5,51966180,"curve_2"
23,51671555,"curve_2"
23.5,51791785,"curve_2"
24,51515940,"curve_2"
0.5,27882485,"curve_3"
1,31810195,"curve_3"
1.5,32644615,"curve_3"
2,36020610,"curve_3"
2.5,39776785,"curve_3"
3,43726595,"curve_3"
3.5,47205955,"curve_3"
4,49778685,"curve_3"
4.5,51204145,"curve_3"
5,52085755,"curve_3"
5.5,52450435,"curve_3"
6,52233300,"curve_3"
6.5,52278145,"curve_3"
7,52009745,"curve_3"
7.5,52293620,"curve_3"
8,51671555,"curve_3"
8.5,51727500,"curve_3"
9,51705380,"curve_3"
9.5,50894860,"curve_3"
10,51174935,"curve_3"
10.5,52018205,"curve_3"
11,50674310,"curve_3"
11.5,50991465,"curve_3"
12,51115215,"curve_3"
12.5,51515940,"curve_3"
13,50878440,"curve_3"
13.5,51247575,"curve_3"
14,51304080,"curve_3"
14.5,50975590,"curve_3"
15,51872700,"curve_3"
15.5,51115215,"curve_3"
16,50166505,"curve_3"
16.5,50911185,"curve_3"
17,50709245,"curve_3"
17.5,50186525,"curve_3"
18,50639010,"curve_3"
18.5,50861930,"curve_3"
19,51439135,"curve_3"
19.5,51426030,"curve_3"
20,49768265,"curve_3"
20.5,50226280,"curve_3"
21,51822770,"curve_3"
21.5,50975590,"curve_3"
22,50105890,"curve_3"
22.5,50362475,"curve_3"
23,50085495,"curve_3"
23.5,50438255,"curve_3"
24,49918955,"curve_3"
